family,model,set,metric,layer,point,lo,hi,n_entities,corrected,significant,seed_sd,primary,n_seeds,reference_M_injected,drop_from_reference,p_raw,p_floor,p_holm,threshold
probe_layer,M_npo_s2,forget,accuracy,1.0,0.16736111111111104,,,,True,False,0.08881518783036901,False,20.0,0.1694444444444444,0.0020833333333333537,0.6923307669233076,9.5367431640625e-07,1.0,
probe_layer,M_npo_s2,forget,accuracy,2.0,0.12777777777777774,,,,True,False,0.07521357936647884,False,20.0,0.13402777777777775,0.0062500000000000056,0.0978902109789021,9.5367431640625e-07,0.4894510548945105,
probe_layer,M_npo_s2,forget,accuracy,3.0,0.0819444444444444,,,,True,False,0.061604204180474194,False,20.0,0.09027777777777775,0.008333333333333345,0.051294870512948704,9.5367431640625e-07,0.3077692230776922,
probe_layer,M_npo_s2,forget,accuracy,4.0,0.09236111111111109,,,,True,False,0.06718170326853198,False,20.0,0.08611111111111107,-0.006250000000000019,0.5191480851914808,9.5367431640625e-07,1.0,
probe_layer,M_npo_s2,forget,accuracy,5.0,0.08680555555555551,,,,True,False,0.058904024039815595,False,20.0,0.0847222222222222,-0.002083333333333312,0.6958304169583042,9.5367431640625e-07,1.0,
probe_layer,M_npo_s2,forget,accuracy,6.0,0.14097222222222222,,,,True,True,0.07269791050871191,False,20.0,0.18749999999999997,0.04652777777777775,0.0021997800219978004,9.5367431640625e-07,0.015398460153984602,
probe_layer,M_npo_s2,forget,accuracy,7.0,0.0770833333333333,,,,True,True,0.038361873857020654,False,20.0,0.13958333333333328,0.062499999999999986,9.999000099990002e-05,9.5367431640625e-07,0.0011998800119988001,
probe_layer,M_npo_s2,forget,accuracy,8.0,0.13611111111111107,,,,True,True,0.06827970605245375,False,20.0,0.538888888888889,0.4027777777777779,9.999000099990002e-05,9.5367431640625e-07,0.0011998800119988001,
probe_layer,M_npo_s2,forget,accuracy,9.0,0.20069444444444443,,,,False,True,0.0918497860823792,True,20.0,0.8486111111111111,0.6479166666666667,9.999000099990002e-05,9.5367431640625e-07,,
probe_layer,M_npo_s2,forget,accuracy,10.0,0.24722222222222223,,,,True,True,0.07480752864371593,False,20.0,0.8840277777777779,0.6368055555555556,9.999000099990002e-05,9.5367431640625e-07,0.0011998800119988001,
probe_layer,M_npo_s2,forget,accuracy,11.0,0.2833333333333333,,,,True,True,0.08625483195964889,False,20.0,0.9263888888888889,0.6430555555555556,9.999000099990002e-05,9.5367431640625e-07,0.0011998800119988001,
probe_layer,M_gd_s2,forget,accuracy,0.0,0.19444444444444442,,,,True,False,0.10729938440986903,False,20.0,0.19374999999999998,-0.000694444444444442,0.936006399360064,9.5367431640625e-07,1.0,
probe_layer,M_gd_s2,forget,accuracy,1.0,0.17083333333333325,,,,True,False,0.08467487412445444,False,20.0,0.1694444444444444,-0.0013888888888888562,0.7485251474852515,9.5367431640625e-07,1.0,
probe_layer,M_gd_s2,forget,accuracy,2.0,0.12361111111111107,,,,True,True,0.0771197098193781,False,20.0,0.13402777777777775,0.010416666666666671,0.0011998800119988001,9.5367431640625e-07,0.008399160083991601,
probe_layer,M_gd_s2,forget,accuracy,3.0,0.07916666666666664,,,,True,False,0.06500424837418442,False,20.0,0.09027777777777775,0.011111111111111113,0.030496950304969503,9.5367431640625e-07,0.15248475152484753,
probe_layer,M_gd_s2,forget,accuracy,4.0,0.0881944444444444,,,,True,False,0.06280788363663896,False,20.0,0.08611111111111107,-0.002083333333333326,0.7385261473852615,9.5367431640625e-07,1.0,
probe_layer,M_gd_s2,forget,accuracy,5.0,0.08888888888888886,,,,True,False,0.059337637007990225,False,20.0,0.0847222222222222,-0.004166666666666666,0.6198380161983802,9.5367431640625e-07,1.0,
probe_layer,M_gd_s2,forget,accuracy,6.0,0.12916666666666665,,,,True,True,0.06047314527577643,False,20.0,0.18749999999999997,0.05833333333333332,0.0005999400059994001,9.5367431640625e-07,0.0047995200479952005,
probe_layer,M_gd_s2,forget,accuracy,7.0,0.09444444444444441,,,,True,True,0.05070170379810909,False,20.0,0.13958333333333328,0.04513888888888887,0.0011998800119988001,9.5367431640625e-07,0.008399160083991601,
probe_layer,M_gd_s2,forget,accuracy,8.0,0.14513888888888885,,,,True,True,0.07679979859561799,False,20.0,0.538888888888889,0.39375000000000016,9.999000099990002e-05,9.5367431640625e-07,0.0011998800119988001,
probe_layer,M_gd_s2,forget,accuracy,9.0,0.22430555555555554,,,,False,True,0.09226886634832998,True,20.0,0.8486111111111111,0.6243055555555556,9.999000099990002e-05,9.5367431640625e-07,,
probe_layer,M_gd_s2,forget,accuracy,10.0,0.2569444444444444,,,,True,True,0.08543880162965554,False,20.0,0.8840277777777779,0.6270833333333334,9.999000099990002e-05,9.5367431640625e-07,0.0011998800119988001,
probe_layer,M_gd_s2,forget,accuracy,11.0,0.29444444444444445,,,,True,True,0.1027165140627766,False,20.0,0.9263888888888889,0.6319444444444444,9.999000099990002e-05,9.5367431640625e-07,0.0011998800119988001,
drift,M_npo_s0,forget_over_control,ratio,9.0,1.224342834883942,,,,False,False,,,,,,,,,1.5
drift,M_npo_s1,forget_over_control,ratio,9.0,1.2532652705461147,,,,False,False,,,,,,,,,1.5
drift,M_npo_s2,forget_over_control,ratio,9.0,1.1845751144279355,,,,False,False,,,,,,,,,1.5
drift,M_gd_s2,forget_over_control,ratio,9.0,1.1887266405708603,,,,False,False,,,,,,,,,1.5
