layer,position,kind,logit_diff_base,logit_diff_donor,logit_diff_patched,recovery,set,entity_id,model
7,-4,real,-51.996753215789795,9.135322570800781,-12.260307312011719,0.6500097598926018,forget,for_000,M_gd_s2
7,-3,real,-51.996753215789795,9.135322570800781,-51.96360445022583,0.0005422483227902442,forget,for_000,M_gd_s2
7,-2,real,-51.996753215789795,9.135322570800781,-52.04055333137512,-0.0007164833685384978,forget,for_000,M_gd_s2
7,-1,real,-51.996753215789795,9.135322570800781,-47.64289093017578,0.07122058640398794,forget,for_000,M_gd_s2
7,-7,random_position,-51.996753215789795,9.135322570800781,-51.85432696342468,0.0023298121408851903,forget,for_000,M_gd_s2
8,-6,real,-51.996753215789795,9.135322570800781,-50.705872535705566,0.02111625792964461,forget,for_000,M_gd_s2
8,-5,real,-51.996753215789795,9.135322570800781,-51.68541502952576,0.00509287771203625,forget,for_000,M_gd_s2
8,-4,real,-51.996753215789795,9.135322570800781,-16.746524810791016,0.5766241036547785,forget,for_000,M_gd_s2
8,-3,real,-51.996753215789795,9.135322570800781,-51.940558314323425,0.0009192375809802957,forget,for_000,M_gd_s2
8,-2,real,-51.996753215789795,9.135322570800781,-52.047064781188965,-0.0008229978248212185,forget,for_000,M_gd_s2
8,-1,real,-51.996753215789795,9.135322570800781,-38.20517444610596,0.22560298488521216,forget,for_000,M_gd_s2
8,-4,random_position,-51.996753215789795,9.135322570800781,-16.746524810791016,0.5766241036547785,forget,for_000,M_gd_s2
9,-6,real,-51.996753215789795,9.135322570800781,-50.612997174263,0.02263551537751518,forget,for_000,M_gd_s2
9,-5,real,-51.996753215789795,9.135322570800781,-51.69665718078613,0.004908978325082308,forget,for_000,M_gd_s2
9,-4,real,-51.996753215789795,9.135322570800781,-34.30561351776123,0.2893920985079513,forget,for_000,M_gd_s2
9,-3,real,-51.996753215789795,9.135322570800781,-51.89505422115326,0.0016635946567815302,forget,for_000,M_gd_s2
9,-2,real,-51.996753215789795,9.135322570800781,-51.99786579608917,-1.8199615914588126e-05,forget,for_000,M_gd_s2
9,-1,real,-51.996753215789795,9.135322570800781,-18.495826721191406,0.5480089799592062,forget,for_000,M_gd_s2
9,-10,random_position,-51.996753215789795,9.135322570800781,-51.84519565105438,0.002479182373333657,forget,for_000,M_gd_s2
10,-6,real,-51.996753215789795,9.135322570800781,-51.918264627456665,0.001283918259329687,forget,for_000,M_gd_s2
10,-5,real,-51.996753215789795,9.135322570800781,-51.63221573829651,0.005963113027044438,forget,for_000,M_gd_s2
10,-4,real,-51.996753215789795,9.135322570800781,-49.78806346654892,0.03612980126752632,forget,for_000,M_gd_s2
10,-3,real,-51.996753215789795,9.135322570800781,-51.877190589904785,0.0019558083763161864,forget,for_000,M_gd_s2
10,-2,real,-51.996753215789795,9.135322570800781,-51.90493106842041,0.001502028946144932,forget,for_000,M_gd_s2
10,-1,real,-51.996753215789795,9.135322570800781,1.3290977478027344,0.8723055822568624,forget,for_000,M_gd_s2
10,-5,random_position,-51.996753215789795,9.135322570800781,-51.63221573829651,0.005963113027044438,forget,for_000,M_gd_s2
11,-6,real,-51.996753215789795,9.135322570800781,-51.996753215789795,0.0,forget,for_000,M_gd_s2
11,-5,real,-51.996753215789795,9.135322570800781,-51.996753215789795,0.0,forget,for_000,M_gd_s2
11,-4,real,-51.996753215789795,9.135322570800781,-51.996753215789795,0.0,forget,for_000,M_gd_s2
11,-3,real,-51.996753215789795,9.135322570800781,-51.996753215789795,0.0,forget,for_000,M_gd_s2
11,-2,real,-51.996753215789795,9.135322570800781,-51.996753215789795,0.0,forget,for_000,M_gd_s2
11,-1,real,-51.996753215789795,9.135322570800781,8.711944580078125,0.9930743724096552,forget,for_000,M_gd_s2
11,-5,random_position,-51.996753215789795,9.135322570800781,-51.996753215789795,0.0,forget,for_000,M_gd_s2
0,-6,real,-52.40558958053589,9.279396057128906,-52.409388303756714,-6.158262308981878e-05,forget,for_000,M_gd_s2
0,-5,real,-52.40558958053589,9.279396057128906,-52.253626585006714,0.0024635329644364275,forget,for_000,M_gd_s2
0,-4,real,-52.40558958053589,9.279396057128906,-52.27878761291504,0.0020556374668818022,forget,for_000,M_gd_s2
0,-3,real,-52.40558958053589,9.279396057128906,-50.78530816733837,0.026267030727947113,forget,for_000,M_gd_s2
0,-2,real,-52.40558958053589,9.279396057128906,-49.29078269004822,0.050495381627936584,forget,for_000,M_gd_s2
0,-1,real,-52.40558958053589,9.279396057128906,-52.36725568771362,0.0006214460849101501,forget,for_000,M_gd_s2
0,-11,random_position,-52.40558958053589,9.279396057128906,-52.4032096862793,3.858141867084485e-05,forget,for_000,M_gd_s2
1,-6,real,-52.40558958053589,9.279396057128906,-52.41156339645386,-9.684392168069411e-05,forget,for_000,M_gd_s2
1,-5,real,-52.40558958053589,9.279396057128906,-52.11778736114502,0.004665677010632833,forget,for_000,M_gd_s2
1,-4,real,-52.40558958053589,9.279396057128906,-52.13506841659546,0.004385526901626605,forget,for_000,M_gd_s2
1,-3,real,-52.40558958053589,9.279396057128906,-50.79103124141693,0.02617425168261869,forget,for_000,M_gd_s2
1,-2,real,-52.40558958053589,9.279396057128906,-45.71306657791138,0.10849516999057325,forget,for_000,M_gd_s2
1,-1,real,-52.40558958053589,9.279396057128906,-52.316471338272095,0.0014447315070683657,forget,for_000,M_gd_s2
1,-3,random_position,-52.40558958053589,9.279396057128906,-50.79103124141693,0.02617425168261869,forget,for_000,M_gd_s2
2,-6,real,-52.40558958053589,9.279396057128906,-52.41126465797424,-9.200095257685033e-05,forget,for_000,M_gd_s2
2,-5,real,-52.40558958053589,9.279396057128906,-52.18666434288025,0.0035490846823179626,forget,for_000,M_gd_s2
