accuracy,control_task_accuracy,selectivity,chance,n_train,n_test,seed,probe,layer,model,set,condition
0.09722222222222222,0.08333333333333333,0.013888888888888895,0.08333333333333333,216,72,0,logistic,7,M_injected,forget,M_injected:forget
0.1527777777777778,0.06944444444444445,0.08333333333333334,0.08333333333333333,216,72,1,logistic,7,M_injected,forget,M_injected:forget
0.3194444444444444,0.2361111111111111,0.08333333333333331,0.08333333333333333,216,72,2,logistic,7,M_injected,forget,M_injected:forget
0.19444444444444445,0.013888888888888888,0.18055555555555555,0.08333333333333333,216,72,3,logistic,7,M_injected,forget,M_injected:forget
0.1527777777777778,0.09722222222222222,0.055555555555555566,0.08333333333333333,216,72,4,logistic,7,M_injected,forget,M_injected:forget
0.16666666666666666,0.09722222222222222,0.06944444444444443,0.08333333333333333,216,72,5,logistic,7,M_injected,forget,M_injected:forget
0.1527777777777778,0.05555555555555555,0.09722222222222224,0.08333333333333333,216,72,6,logistic,7,M_injected,forget,M_injected:forget
0.16666666666666666,0.0,0.16666666666666666,0.08333333333333333,216,72,7,logistic,7,M_injected,forget,M_injected:forget
0.16666666666666666,0.041666666666666664,0.125,0.08333333333333333,216,72,8,logistic,7,M_injected,forget,M_injected:forget
0.05555555555555555,0.16666666666666666,-0.1111111111111111,0.08333333333333333,216,72,9,logistic,7,M_injected,forget,M_injected:forget
0.18055555555555555,0.09722222222222222,0.08333333333333333,0.08333333333333333,216,72,10,logistic,7,M_injected,forget,M_injected:forget
0.1111111111111111,0.125,-0.013888888888888895,0.08333333333333333,216,72,11,logistic,7,M_injected,forget,M_injected:forget
0.16666666666666666,0.041666666666666664,0.125,0.08333333333333333,216,72,12,logistic,7,M_injected,forget,M_injected:forget
0.125,0.125,0.0,0.08333333333333333,216,72,13,logistic,7,M_injected,forget,M_injected:forget
0.06944444444444445,0.06944444444444445,0.0,0.08333333333333333,216,72,14,logistic,7,M_injected,forget,M_injected:forget
0.09722222222222222,0.027777777777777776,0.06944444444444445,0.08333333333333333,216,72,15,logistic,7,M_injected,forget,M_injected:forget
0.16666666666666666,0.0,0.16666666666666666,0.08333333333333333,216,72,16,logistic,7,M_injected,forget,M_injected:forget
0.013888888888888888,0.1111111111111111,-0.09722222222222221,0.08333333333333333,216,72,17,logistic,7,M_injected,forget,M_injected:forget
0.05555555555555555,0.06944444444444445,-0.013888888888888895,0.08333333333333333,216,72,18,logistic,7,M_injected,forget,M_injected:forget
0.18055555555555555,0.08333333333333333,0.09722222222222222,0.08333333333333333,216,72,19,logistic,7,M_injected,forget,M_injected:forget
0.6111111111111112,0.1111111111111111,0.5,0.08333333333333333,216,72,0,logistic,8,M_injected,forget,M_injected:forget
0.5,0.05555555555555555,0.4444444444444444,0.08333333333333333,216,72,1,logistic,8,M_injected,forget,M_injected:forget
0.5,0.08333333333333333,0.4166666666666667,0.08333333333333333,216,72,2,logistic,8,M_injected,forget,M_injected:forget
0.7083333333333334,0.05555555555555555,0.6527777777777778,0.08333333333333333,216,72,3,logistic,8,M_injected,forget,M_injected:forget
0.7222222222222222,0.08333333333333333,0.6388888888888888,0.08333333333333333,216,72,4,logistic,8,M_injected,forget,M_injected:forget
0.625,0.013888888888888888,0.6111111111111112,0.08333333333333333,216,72,5,logistic,8,M_injected,forget,M_injected:forget
0.5,0.0,0.5,0.08333333333333333,216,72,6,logistic,8,M_injected,forget,M_injected:forget
0.5694444444444444,0.08333333333333333,0.4861111111111111,0.08333333333333333,216,72,7,logistic,8,M_injected,forget,M_injected:forget
0.2361111111111111,0.0,0.2361111111111111,0.08333333333333333,216,72,8,logistic,8,M_injected,forget,M_injected:forget
