model,set,layer,cka,pca_similarity,pca_shift
M_gd_s2,retain,5,0.99949900753858,0.7225760436428532,0.38008452299433404
M_gd_s2,retain,6,0.9967897868423605,0.6512882236566865,2.218541493513211
M_gd_s2,retain,7,0.979754655193534,0.5939609053886847,0.8725888923041208
M_gd_s2,retain,8,0.9186070424511305,0.29335663230747494,2.9898962891759497
M_gd_s2,retain,9,0.8817277388515415,0.3879400651612208,4.129985010694117
M_gd_s2,retain,10,0.881038781449442,0.5047857309514332,10.205048497864942
M_gd_s2,retain,11,0.8158401927451732,0.31897507135093184,84.7086131142641
M_gd_s2,control,0,0.9998698705951553,0.9916770892841514,0.10905437977158636
M_gd_s2,control,1,0.9999397818303483,0.9715568425758354,0.10788976385771935
M_gd_s2,control,2,0.9999421047236264,0.9073489454367822,0.035112424301742086
M_gd_s2,control,3,0.9997666846243378,0.9364078906220354,0.047139271216417374
M_gd_s2,control,4,0.9995792538097662,0.8476782543462441,0.39228628540052923
M_gd_s2,control,5,0.9995099720347742,0.653293538815411,0.36923592613625933
M_gd_s2,control,6,0.996771516709046,0.6958341704830635,2.184190893145268
M_gd_s2,control,7,0.9838012077485426,0.48643288942471247,0.8951473879861109
M_gd_s2,control,8,0.8851076890098041,0.25405291484865666,3.447644554972705
M_gd_s2,control,9,0.7233379133698111,0.3090569845595582,15.573611866519075
M_gd_s2,control,10,0.7278071628012855,0.37411579598208183,25.339531808005006
M_gd_s2,control,11,0.7072523364165777,0.24256142128829444,103.50509570708847
M_gd_s2,generic,0,0.9987131261813024,0.9345037235183593,0.08128293452936905
M_gd_s2,generic,1,0.9985266264939798,0.9663196690600788,0.7230194970481979
M_gd_s2,generic,2,0.9982096924007685,0.9716768524958767,0.7127778274218425
M_gd_s2,generic,3,0.9976084655361774,0.9752208039635789,0.34108806452221874
M_gd_s2,generic,4,0.997679314407387,0.9335976421793886,0.7776782727677073
M_gd_s2,generic,5,0.9964967325815238,0.846759143065702,0.9424491123143937
M_gd_s2,generic,6,0.9944122920344172,0.9507913784326962,0.3913629441172064
M_gd_s2,generic,7,0.9927977699233113,0.901177913845759,1.5207131055708785
M_gd_s2,generic,8,0.9925780639848946,0.8082890538479119,0.6625537625291276
M_gd_s2,generic,9,0.9930224462765147,0.9044231600227309,2.076818168344252
M_gd_s2,generic,10,0.9944088113199355,0.8924758728238877,3.3426898710041715
M_gd_s2,generic,11,0.9799933404035619,0.7709349316899289,26.288416804616656
